	text	frequency	label
72749	von Jaworski	2	Herkunft
44030	Matejec	2	Rufname
31905	Jurkeit	28	Rufname
77055	Woyczeck	2	Rufname
30561	Jakobschak	10	Rufname
8730	Böllinger	113	Herkunft
73930	Wegemund	61	Rufname
38405	Kussy	9	Übername
14162	Eggersglühs	1	Wohnstätte
16413	Fenstermacher	26	Beruf
44111	Matissek	36	Rufname
17728	Freymeyer	17	Beruf
75384	Wiebelitz	42	Herkunft
26625	Herleth	44	Rufname
21151	Grausam	156	Übername
27962	Hofstedde	6	Beruf
3618	Bechhold	20	Rufname
11547	Detert	344	Rufname
69135	Thünel	5	Rufname
42715	Lüdinghaus	11	Herkunft
4026	Bendriem	1	Beruf
22054	Große-Schulte	17	Wohnstätte
31221	Jirouch	1	Rufname
58172	Sandbring	3	Wohnstätte
79016	Övermöhle	41	Wohnstätte
54168	Rajngart	1	Rufname
16836	Finkenzeller	359	Herkunft
31529	Joniks	3	Rufname
71487	Vetterer	23	Übername
69429	Tittmann	439	Rufname
63218	Seybolth	1	Rufname
46413	Morgenbrod	33	Übername
75148	Weweler	47	Beruf
42120	Luethy	1	Rufname
37429	Kristopeit	4	Rufname
22374	Gröbmeir	1	Beruf
60692	Schneegans	220	Übername
24418	Handwerg	35	Beruf
7957	Buckenmeier	1	Beruf
26194	Hendrigs	5	Rufname
9123	Calberla	2	Herkunft
45579	Michelke	25	Rufname
41914	Lowaßer	6	Wohnstätte
46498	Motejat	25	Rufname
19676	Gerrits	113	Rufname
60820	Schniederjan	24	Rufname
1102	Altfater	4	Übername
62812	Seiffarth	97	Rufname
23339	Götzler	10	Rufname
5321	Birkenkampf	7	Wohnstätte
70707	Ungemach	286	Übername
45141	Merboth	63	Rufname
22974	Gygax	7	Übername
71653	Vitvar	3	Übername
27831	Hofbuhr	4	Beruf
45864	Mildebrandt	11	Rufname
39021	Kümmerling	220	Übername
55321	Renault	21	Rufname
51857	Peutl	10	Beruf
32028	Jörren	14	Rufname
76426	Wlodarek	25	Beruf
66780	Strohmayer	206	Beruf
44953	Mekelburger	28	Herkunft
8175	Bumann	449	Beruf
4258	Berentsen	11	Rufname
15475	Ernstsen	1	Rufname
34540	Klein-Katthöfer	8	Wohnstätte
64603	Spendler	18	Beruf
60723	Schneiderat	88	Beruf
38406	Kuster	439	Beruf
5277	Birgfeld	16	Wohnstätte
39441	Landfogt	2	Beruf
60728	Schneidereit	826	Beruf
68864	Thodam	8	Wohnstätte
25708	Heinelt	230	Rufname
741	Akhter	12	Rufname
6483	Bornewaßer	2	Wohnstätte
64248	Soldner	351	Beruf
14085	Efthimiadis	48	Rufname
40395	Lembert	93	Rufname
25334	Hechtfisch	20	Beruf
9432	Chalybaeus	1	Beruf
42034	Ludwieg	7	Rufname
73309	Waldhier	159	Rufname
4783	Beuthel	20	Beruf
2849	Balthes	69	Rufname
59329	Scheugraber	1	Übername
17075	Florschütz	266	Beruf
61793	Schweicker	5	Rufname
43578	Maquardsen	1	Rufname
71299	Vees	77	Beruf
33427	Keilberth	31	Rufname
75084	Westkämper	83	Wohnstätte
53924	Rachfahl	76	Rufname
76589	Wohllebe	155	Übername
64229	Sokolovski	24	Herkunft
23181	Göltenbott	7	Beruf
25076	Haucken	13	Rufname
43371	Makrigiannis	11	Rufname
72397	van Dyck	90	Wohnstätte
45776	Mikolay	13	Rufname
53562	Ptaschnik	10	Beruf
21513	Grigull	229	Rufname
20255	Glockner	309	Beruf
30891	Jardin	66	Wohnstätte
53816	Quadflieg	355	Übername
62189	Schärfke	36	Übername
30624	Jakubowitsch	2	Rufname
20126	Gisella	13	Rufname
38365	Kuschnereit	99	Beruf
35106	Kloose	10	Rufname
72538	van der Straten	4	Wohnstätte
48634	Nikolaidou	20	Rufname
54089	Rahnenfuehrer	3	Beruf
66890	Ströhl	218	Beruf
59806	Schlagenhaufer	145	Übername
8654	Böffel	65	Rufname
29869	Hüniken	9	Rufname
45814	Mikuschies	1	Rufname
68216	Tenbroek	3	Wohnstätte
2286	Avenarius	69	Beruf
44979	Melicher	3	Rufname
78915	Äschenbrenner	1	Beruf
13676	Düppre	32	Wohnstätte
14666	Eisenächer	23	Herkunft
18050	Frohwein	166	Rufname
49208	Nusshag	4	Wohnstätte
72134	Voronine	3	Übername
64985	Staffhorst	43	Herkunft
78980	Örs	77	Beruf
24647	Harbott	50	Rufname
62755	Seidelmayer	4	Beruf
44835	Meinelt	166	Rufname
2860	Baltruks	2	Rufname
10288	Cromer	14	Beruf
65878	Stenzel	4106	Rufname
11144	Deichmüller	60	Beruf
52932	Poppinga	348	Rufname
7154	Brinken	50	Wohnstätte
5536	Blaschzig	3	Rufname
68334	Tesmer	163	Rufname
36494	Koscholl	5	Übername
417	Adem	99	Rufname
34320	Klaffenbach	40	Herkunft
76135	Winternheimer	73	Herkunft
7878	Buchale	4	Übername
59130	Schellhaase	12	Übername
14902	Elschlaeger	1	Beruf
45321	Meszarosova	1	Beruf
7187	Brinkschulte	225	Beruf
20461	Goedeker	3	Rufname
13273	Dumerth	7	Übername
71696	Vodopivec	11	Übername
18683	Gaisser	123	Beruf
19982	Gieser	270	Beruf
51088	Paschkewitz	58	Rufname
16763	Filippou	18	Rufname
55767	Riemenkasten	1	Übername
75839	Willam	151	Rufname
53935	Radakovic	37	Rufname
7426	Brottke	4	Übername
1021	Allrogge	2	Beruf
61582	Schurius	13	Wohnstätte
32014	Jörg	1809	Rufname
34417	Klaußen	2	Rufname
42667	Lübrecht	8	Rufname
51933	Pfannmoeller	2	Beruf
33033	Kasprzok	15	Rufname
40608	Leschek	55	Rufname
60485	Schmidtkunz	81	Rufname
70937	Urbanneck	14	Rufname
62734	Seiberth	155	Rufname
13851	Ebeldt	1	Rufname
39077	Küntzler	90	Rufname
2207	Augustien	13	Rufname
17125	Flüggen	56	Übername
37124	Krebser	40	Beruf
51554	Perenz	48	Rufname
26422	Henzner	7	Rufname
72501	van der Berg	32	Wohnstätte
47397	Nagler	1187	Beruf
49021	Nottebohm	84	Wohnstätte
47969	Neuerer	127	Übername
35936	Kohnle	371	Rufname
32624	Kannengiehser	1	Beruf
11259	Delvaux	8	Wohnstätte
50323	Orszechowski	5	Herkunft
26910	Hesters	11	Wohnstätte
31592	Jordanland	20	Übername
47148	Mühlfarth	10	Wohnstätte
56045	Rockhoff	45	Wohnstätte
34714	Kleinschnittger	160	Beruf
22369	Gröblehner	5	Beruf
70434	ten Lohuis	4	Wohnstätte
37737	Kubalek	10	Rufname
76924	Wolter	9115	Rufname
56316	Rohlfing	679	Rufname
55265	Remm	92	Rufname
34182	Kirstan	67	Rufname
23051	Gärmann	6	Rufname
36598	Kottmayer	3	Beruf
75569	Wienant	1	Rufname
50917	Pantlen	14	Rufname
28103	Holletzeck	1	Übername
42018	Ludolphy	15	Rufname
15754	Exposito	31	Übername
10674	Dambolt	2	Rufname
6052	Boettiger	21	Beruf
19292	Geißer	351	Beruf
63944	Skriepek	3	Beruf
54300	Raschdorf	234	Herkunft
63713	Sillke	8	Rufname
61328	Schröckel	5	Übername
6400	Borgardt	181	Rufname
68346	Tessendorf	76	Herkunft
38613	Käßmeier	4	Beruf
47063	Mühlbradt	67	Rufname
5241	Binnenböse	23	Übername
59643	Schimf	9	Übername
65884	Stepanek	247	Rufname
20455	Goedeckemeyer	9	Beruf
35031	Klockener	1	Beruf
35736	Koehnken	1	Rufname
47576	Nawrodt	21	Übername
22242	Grunbaum	1	Wohnstätte
33949	Kießlich	266	Übername
35585	Knötzlein	1	Übername
25805	Heintel	176	Rufname
43810	Marquarden	1	Rufname
74497	Weiszhar	29	Übername
13167	Drössler	211	Beruf
44337	Matzeizik	3	Rufname
34443	Klebert	106	Beruf
71268	Vavrina	5	Rufname
11888	Dierolf	384	Rufname
22324	Grzybowsky	7	Herkunft
28242	Holubar	17	Beruf
71362	Venger	7	Herkunft
27523	Hirschhäuser	148	Herkunft
26720	Herpold	3	Rufname
13131	Druckmiller	6	Beruf
15076	Engelkes	50	Rufname
59089	Scheithammer	3	Herkunft
40761	Levchenko	10	Rufname
71724	Voelkert	2	Rufname
70068	Tröschel	62	Beruf
29737	Hübbers	158	Rufname
27230	Hillebrandt	418	Rufname
54453	Raukopf	15	Übername
71371	Venmanns	18	Wohnstätte
13117	Drometer	18	Beruf
41754	Loncarek	5	Beruf
20473	Goehtz	11	Rufname
42147	Luettjohann	4	Rufname
76124	Winterkämper	2	Wohnstätte
26263	Henneckes	2	Rufname
42923	Lützenburg	28	Herkunft
62285	Schönefuss	4	Übername
22779	Guldener	6	Beruf
28927	Hugele	1	Rufname
19706	Gerstenmaier	76	Beruf
44710	Mehlsteubl	3	Beruf
76792	Wolfsen	20	Rufname
52105	Pfortner	72	Beruf
9731	Cierjacks	6	Rufname
37207	Kreißelmeyer	14	Beruf
51605	Pesa	29	Rufname
8296	Burgschmidt	5	Beruf
38240	Kurbiuhn	6	Beruf
52082	Pflügl	140	Beruf
54261	Ransweiler	23	Herkunft
18249	Frübis	26	Übername
67363	Sulkiewicz	16	Rufname
68477	Thanheuser	12	Herkunft
37317	Kreuzau	10	Herkunft
49989	Ohnuseit	2	Rufname
11936	Dieterich	1124	Rufname
29872	Hünken	64	Rufname
32316	Kailuhn	5	Beruf
73724	Waterstradt	138	Wohnstätte
73427	Wallrafen	168	Rufname
1970	Asanovski	5	Rufname
18020	Frohmiller	2	Beruf
76553	Woestemeyer	1	Beruf
76024	Winandy	49	Rufname
28166	Holtgraefe	15	Beruf
54938	Reindell	4	Rufname
29998	Ignatenko	51	Rufname
52831	Pollzien	11	Herkunft
26852	Herzogkeit	1	Übername
3420	Battmer	72	Rufname
47787	Nelius	176	Rufname
71147	Vandamme	59	Wohnstätte
39559	Langhein	170	Rufname
22034	Große-Homann	10	Wohnstätte
76520	Woelflinger	1	Herkunft
13235	Duerrwanger	1	Herkunft
14420	Eickbohm	4	Wohnstätte
75550	Wielander	23	Rufname
43881	Martien	1	Rufname
27651	Hodemaekers	2	Beruf
78033	Zeilmeir	15	Beruf
4697	Bethe	193	Rufname
45236	Mertgen	104	Rufname
19732	Gerthenrich	3	Rufname
30413	Jacobus	70	Rufname
27612	Hochgräf	20	Beruf
17915	Frischmuth	383	Übername
11183	Deiterding	25	Rufname
47299	Münzer	939	Beruf
5960	Boehres	2	Rufname
3411	Batt	253	Rufname
14708	Eissfeld	1	Herkunft
65216	Staschiok	2	Rufname
76548	Woerz	18	Rufname
43859	Martein	3	Rufname
30836	Janovitsch	2	Rufname
27186	Hilebrand	36	Rufname
57211	Rupperath	35	Herkunft
8537	Bärens	44	Rufname
10038	Coerds	14	Rufname
56017	Robke	61	Rufname
61676	Schwanhäuser	22	Herkunft
47055	Mühlbayer	32	Beruf
22608	Grütte	26	Beruf
37444	Kroboth	138	Herkunft
71361	Venes	6	Wohnstätte
55275	Remmers	792	Rufname
64193	Soentgerath	17	Herkunft
32068	Jürgelaitis	3	Rufname
17287	Forstmayer	4	Beruf
19557	Gerhert	1	Rufname
56401	Rolfmeier	1	Beruf
42523	Löhrcke	1	Rufname
64849	Springob	206	Übername
53602	Pulfermüller	1	Beruf
64949	Stadlmeyer	15	Beruf
43822	Marsalek	3	Beruf
59253	Schermacher	35	Beruf
36192	Konstantopoulos	14	Rufname
2022	Asci	71	Beruf
70803	Unterhitzenberger	39	Herkunft
931	Aleythe	9	Rufname
9204	Capotorto	3	Übername
62965	Semf	5	Beruf
43143	Maevis	13	Rufname
63408	Siebracht	2	Rufname
65154	Stanzeit	6	Rufname
45137	Merbald	27	Rufname
55454	Reupold	26	Rufname
8432	Butscheid	35	Herkunft
43272	Mainers	1	Rufname
15601	Eschricht	23	Rufname
18889	Garzareck	20	Beruf
44296	Matviychuk	2	Rufname
14381	Eichholt	34	Wohnstätte
32445	Kalogeropoulou	1	Übername
11524	Descher	83	Beruf
29628	Höpfel	82	Beruf
68363	Tetzke	20	Rufname
28616	Horstkott	18	Wohnstätte
51754	Petrautzky	1	Rufname
38676	Köhlert	119	Beruf
19753	Gerward	1	Rufname
12003	Diett	8	Rufname
62619	Sedlazek	8	Beruf
46081	Mittlmaier	4	Beruf
33657	Kesici	56	Beruf
69162	Thürrauch	4	Rufname
43139	Maessen	57	Rufname
46421	Morgenschweis	116	Übername
14475	Eigenbrot	7	Übername
19623	Gernath	5	Beruf
33372	Keferloher	11	Herkunft
65057	Stancel	4	Rufname
74060	Wehs	11	Rufname
16320	Feldewert	40	Wohnstätte
14008	Eckhart	106	Rufname
41059	Ließel	5	Rufname
2454	Bachfischer	105	Beruf
24994	Hassenjürgen	14	Rufname
47457	Narwill	4	Rufname
14604	Eisenbrandt	88	Rufname
62981	Semmelhack	90	Beruf
71899	Volkerts	9	Rufname
783	Al-Hassan	12	Rufname
61551	Schulzik	35	Beruf
41587	Loette	1	Rufname
54798	Reicherts	51	Rufname
55047	Reinsch	1445	Rufname
17074	Florschuetz	2	Beruf
45603	Michiel	3	Rufname
77130	Wrublezka	4	Herkunft
16801	Filzmayer	6	Beruf
75948	Willscheidt	5	Herkunft
40700	Leutel	4	Rufname
49882	Oevermoehle	1	Wohnstätte
66192	Stiny	22	Rufname
9725	Cicekci	10	Beruf
51013	Papierz	15	Übername
8581	Bätzhold	3	Rufname
63985	Skrzypek	200	Beruf
61062	Scholkofsky	1	Herkunft
49006	Nothtroff	6	Übername
27811	Hoertel	1	Rufname
2866	Baltruschat	341	Rufname
68710	Thielbahr	9	Übername
39968	Lefebre	44	Beruf
34345	Klaperoth	6	Herkunft
48536	Nievindt	3	Übername
57836	Rüttcher	3	Rufname
28289	Holzendorff	14	Herkunft
25908	Heitz	981	Rufname
49124	Nowoitnik	5	Übername
19791	Geschwäntner	5	Wohnstätte
14637	Eisenkopf	81	Übername
63836	Sindram	120	Rufname
4093	Bennack	20	Rufname
29768	Hüge	192	Rufname
18605	Gabrieljürgens	2	Rufname
18283	Frühoff	15	Wohnstätte
16772	Filipschack	6	Rufname
38849	Körnlein	16	Beruf
76437	Wnek	10	Übername
39252	Laemmermann	7	Rufname
30465	Jaens	1	Rufname
40295	Leisgang	79	Übername
4851	Bialeck	7	Übername
76001	Wilspütz	1	Herkunft
30746	Janike	4	Rufname
35318	Klüspies	11	Übername
48164	Neygenfind	10	Übername
53091	Preiksaitis	1	Übername
45761	Mikolajewski	111	Herkunft
32347	Kalaitzidou	3	Beruf
55331	Renftle	55	Übername
33207	Kaufholt	1	Beruf
61014	Schoenmeyer	1	Beruf
34551	Kleine-Albers	13	Wohnstätte
28931	Hugenschmidt	112	Beruf
31124	Jentzsch	1561	Rufname
62599	Sedelmeier	49	Beruf
21920	Grossmeyer	1	Beruf
39103	Kürschner	1280	Beruf
57264	Rutkauskas	4	Herkunft
31120	Jentsch	2187	Rufname
42367	Luxenburger	238	Herkunft
15836	Fabri	259	Beruf
53854	Quellmelz	32	Beruf
40129	Leibundguth	8	Übername
29256	Hämmerer	35	Beruf
32344	Kalaitzakis	3	Beruf
8505	Bächtle	176	Rufname
34431	Klaße	7	Rufname
28770	Hubenschmid	44	Beruf
7890	Buchdrucker	26	Beruf
18253	Früchtenicht	264	Übername
4245	Berendt	415	Rufname
33554	Kenzlers	15	Beruf
48638	Nikolaizig	51	Rufname
25578	Heikämper	3	Wohnstätte
76525	Woeltge	1	Rufname
44310	Matyas	58	Rufname
52405	Pinarbasi	25	Wohnstätte
68185	Temberg	15	Wohnstätte
50760	Paernt	1	Rufname
69801	Traenkle	8	Übername
57994	Sagittarius	4	Beruf
34477	Kleene	230	Übername
32010	Jörden	39	Rufname
39904	Lechenbauer	14	Beruf
46655	Mulder	216	Beruf
65113	Stankaitis	1	Rufname
43846	Marstaeller	1	Beruf
17792	Friederichsen	51	Rufname
69610	Tomala	181	Rufname
12566	Dokoupil	57	Übername
61339	Schrör	139	Beruf
30964	Jastrzimski	2	Herkunft
13533	Dömke	2	Rufname
78615	Zoufahl	11	Übername
61824	Schweikhard	125	Rufname
56768	Rothmayr	33	Beruf
48922	Nordmeyer	300	Beruf
43913	Martins	703	Rufname
11982	Dietmannsperger	6	Herkunft
8352	Burnath	4	Übername
36555	Kotes	30	Wohnstätte
69616	Tomanec	1	Rufname
42578	Löthen	2	Rufname
78459	Zinngrebe	78	Beruf
28845	Huebsch	13	Übername
44820	Meindel	32	Rufname
10822	Danilenko	21	Rufname
32267	Kafetzakis	1	Beruf
10173	Cornehls	15	Rufname
33467	Keinrad	9	Rufname
51899	Pfalzgraff	3	Beruf
30715	Janeba	12	Rufname
66066	Sticklat	12	Beruf
36913	Kramerth	1	Beruf
48967	Nothaaß	3	Übername
26170	Henckels	10	Rufname
56018	Robken	3	Rufname
45454	Meyeroltmanns	6	Rufname
3132	Bartelmus	60	Rufname
21455	Grießhuber	1	Beruf
4809	Bewerunge	23	Herkunft
72111	Vormstein	57	Wohnstätte
36681	Kowacs	10	Beruf
50349	Orths	64	Rufname
66761	Stroetgen	1	Wohnstätte
24511	Hansbuer	22	Beruf
74370	Weinnoldt	14	Rufname
64412	Sowada	366	Übername
295	Adali	39	Wohnstätte
60814	Schniederalbers	6	Rufname
67265	Stüven	381	Übername
34609	Kleinebudde	21	Wohnstätte
36238	Koopmann	1741	Beruf
59496	Schiesslbauer	1	Beruf
2846	Balthaus	44	Rufname
75649	Wiesbrock	121	Wohnstätte
72553	vom Berg	66	Wohnstätte
26588	Hergenroether	11	Herkunft
19475	Gerathwohl	3	Übername
52428	Pintar	41	Beruf
41194	Lindmeir	6	Beruf
30092	Immicke	9	Rufname
50094	Olfmann	12	Rufname
20860	Gotowt	2	Rufname
75234	Weßeler	60	Beruf
56775	Rothoeft	1	Übername
75112	Wetterau	198	Herkunft
38750	Königsbauer	100	Beruf
26641	Hermannek	9	Rufname
29881	Hüntler	7	Herkunft
34379	Klasser	20	Rufname
74781	Wennemar	30	Rufname
34891	Klimkiewicz	25	Rufname
11999	Dietschi	16	Rufname
48886	Nonner	26	Beruf
46461	Morscheidt	4	Herkunft
45328	Methsieder	11	Beruf
48156	Neweling	31	Rufname
73356	Walenziak	7	Rufname
17241	Foltynski	3	Rufname
61157	Schormair	62	Beruf
74871	Werlisch	11	Übername
6112	Bohmhauer	21	Beruf
60340	Schmalfuß	694	Übername
17875	Frikel	66	Rufname
72176	Vosskamp	18	Wohnstätte
11541	Deter	278	Rufname
42928	Lützenkirchen	337	Herkunft
50394	Oschwald	256	Rufname
65901	Stepantschenko	1	Rufname
63960	Skrypczyk	3	Beruf
44701	Mehlkop	35	Beruf
14717	Eiswald	4	Rufname
32714	Kappestein	28	Herkunft
2312	Avramenko	14	Rufname
75674	Wiesenmeier	3	Beruf
46908	Mäwius	4	Rufname
71513	Vichtl	9	Wohnstätte
52888	Pontius	135	Rufname
10151	Copuroglu	10	Übername
44722	Mehrgans	9	Übername
30962	Jastrzemski	27	Herkunft
21488	Grigoriadis	94	Rufname
35679	Kochtokrax	16	Wohnstätte
53821	Quapil	28	Übername
40875	Librecht	20	Rufname
19420	Georgen	15	Rufname
26248	Henkensiefken	77	Rufname
21503	Grigoryev	3	Rufname
32808	Karakuyu	16	Herkunft
75137	Wetzurek	6	Übername
72491	van den Brock	17	Wohnstätte
21823	Grosmayer	3	Beruf
26371	Hensgens	91	Rufname
66447	Stoltenberg	538	Herkunft
76242	Wisotzky	122	Herkunft
47470	Nass	784	Übername
10426	Czepan	46	Rufname
56179	Roensch	67	Rufname
4617	Bertrand	200	Rufname
24111	Hainzlmeier	17	Beruf
23694	Hacisalihoglu	10	Rufname
56441	Romanelli	41	Rufname
2219	Augustus	1	Rufname
43364	Makovsky	7	Herkunft
11023	Debrecht	4	Rufname
70814	Unterkofler	29	Wohnstätte
4601	Bertlein	42	Rufname
4615	Bertram	5645	Rufname
34929	Klingelmeyer	6	Beruf
56911	Rubenbauer	227	Beruf
27198	Hilgering	9	Rufname
21675	Grohmüller	20	Beruf
37807	Kubitza	733	Rufname
55306	Remscheid	53	Herkunft
26884	Hesselmaier	22	Beruf
44462	Maycher	4	Rufname
51304	Pawelcyk	3	Rufname
286	Ackern	2	Wohnstätte
29078	Huober	44	Beruf
36486	Korver	8	Beruf
66056	Stichternot	1	Beruf
68847	Thim	110	Rufname
76516	Woelfert	21	Rufname
2159	Aubry	36	Rufname
71855	Volckart	10	Rufname
30700	Jancik	24	Rufname
59598	Schillers	18	Beruf
46656	Mulders	31	Beruf
30169	Irmsch	24	Rufname
61992	Schwingenschlegl	1	Beruf
32842	Karbaumer	30	Herkunft
296	Adam	10574	Rufname
35425	Kneitinger	41	Herkunft
7678	Brzezinska	13	Herkunft
2746	Baldwin	73	Rufname
42200	Lukaschus	14	Rufname
69110	Thönniss	3	Rufname
7220	Brockhöfft	2	Wohnstätte
74157	Weidenfeller	222	Wohnstätte
58502	Schachenmayer	9	Beruf
30299	Ivanek	4	Rufname
74483	Weisskopf	58	Übername
8328	Burkert	1896	Rufname
75812	Wilimek	2	Rufname
50285	Orfanidou	15	Übername
76189	Wirtenberger	16	Herkunft
36094	Komoreck	3	Übername
241	Achtellick	1	Übername
23867	Haenze	4	Rufname
45620	Mickelun	10	Rufname
23696	Hackbard	1	Rufname
1520	Annuszeit	8	Rufname
49696	Obster	70	Beruf
48698	Nilius	231	Rufname
37489	Krombein	8	Übername
55621	Ricking	52	Rufname
45754	Mikolajcyk	1	Rufname
66927	Studerus	4	Wohnstätte
1311	Anastasiou	45	Rufname
2478	Bachseitz	13	Rufname
73694	Wassmund	21	Rufname
15183	Enzle	8	Rufname
64136	Snider	10	Beruf
39502	Langehenning	1	Rufname
45832	Milani	50	Herkunft
30630	Jakubus	8	Rufname
9451	Charpentier	49	Beruf
47435	Napolitani	1	Herkunft
62124	Schäferkötter	6	Beruf
12918	Drbohlav	8	Übername
52923	Poppenga	21	Rufname
56054	Rodamer	36	Herkunft
63930	Sklenar	76	Beruf
15102	Engeßer	26	Wohnstätte
64554	Speckemeyer	6	Beruf
57505	Rönneker	11	Rufname
71877	Volkardt	9	Rufname
7625	Brunnenmeyer	6	Beruf
78390	Zimmerhansl	11	Rufname
19796	Gesellgen	8	Übername
72470	van de Water	29	Wohnstätte
33362	Kecke	104	Übername
77929	Zecheus	9	Rufname
12834	Doroszenko	3	Rufname
63666	Sigismund	86	Rufname
71742	Voelzer	1	Rufname
29907	Hüsgens	3	Wohnstätte
56627	Roshirt	1	Beruf
24042	Haidar	88	Rufname
62012	Schwital	63	Übername
35584	Knötzele	64	Übername
49041	Notvogel	1	Übername
54399	Ratzenberger	52	Herkunft
39604	Langnäs	7	Übername
69831	Trauernicht	171	Übername
12475	Doemke	8	Rufname
25597	Heilken	19	Rufname
26073	Helmoldt	1	Rufname
36029	Kollpeintner	4	Wohnstätte
68420	Teyssen	8	Rufname
77851	Zameitat	26	Herkunft
71121	Valentien	30	Rufname
70922	Urban	9458	Rufname
12478	Doenges	16	Rufname
10978	Davidsmeier	8	Beruf
47458	Narwills	4	Rufname
72673	von Gerlach	17	Rufname
20353	Glöser	74	Beruf
76917	Wolsifer	1	Herkunft
17973	Frizen	31	Rufname
488	Adomszent	16	Rufname
41336	Lisiak	40	Übername
65123	Stankewitsch	13	Rufname
27436	Hintermayer	95	Beruf
69214	Tiedken	6	Rufname
17856	Friesenhahn	103	Herkunft
23187	Gölzenleuchter	91	Beruf
48127	Neuschwender	29	Wohnstätte
63869	Siodlaczek	38	Beruf
29301	Hänscke	1	Rufname
52440	Pionteck	36	Übername
35978	Kolarz	29	Beruf
31879	Junknikel	6	Rufname
67481	Symanzik	177	Rufname
26482	Herberichs	11	Rufname
60878	Schnuerer	7	Beruf
45959	Miroschnizenko	2	Beruf
43140	Maeurer	12	Beruf
37641	Krähmer	161	Beruf
56238	Roewekamp	7	Wohnstätte
78818	Zylmans	1	Wohnstätte
69059	Thurmayr	28	Beruf
68696	Thiedge	1	Rufname
189	Absmayr	4	Beruf
43564	Mantz	194	Rufname
6195	Bokemueller	1	Beruf
19640	Gerngroß	214	Übername
46119	Mlynarcik	2	Beruf
13084	Drischel	82	Beruf
7109	Breutigam	24	Übername
1221	Ambrolat	5	Rufname
47365	Naessl	1	Übername
37404	Kristel	43	Rufname
76603	Woiceschke	2	Rufname
47845	Nesselberger	27	Wohnstätte
53116	Preiskorn	23	Beruf
38220	Kupries	37	Übername
75350	Widekind	7	Rufname
44342	Matzenbacher	68	Herkunft
37213	Krejcik	44	Beruf
44013	Masurat	103	Herkunft
2421	auf der Heide	19	Wohnstätte
47351	Nachtweyh	10	Wohnstätte
34349	Klapprodt	70	Herkunft
37959	Kuffner	279	Beruf
66113	Stieneke	19	Rufname
51999	Pferdekemper	19	Wohnstätte
6715	Brammbeer	1	Wohnstätte
63261	Seywert	12	Rufname
34888	Klimkeit	131	Rufname
44597	Meckesheimer	10	Herkunft
62926	Sellmeier	134	Beruf
31301	Jodwirschat	6	Übername
20984	Grabmeyer	6	Beruf
49239	Nußher	9	Übername
43895	Martinecz	3	Rufname
5251	Biolek	4	Übername
52046	Pflegel	27	Beruf
68545	Theisohn	26	Rufname
31412	Johansdotter	2	Rufname
16444	Ferentzi	5	Rufname
24214	Hallmeyer	57	Beruf
57518	Röntzsch	26	Rufname
69037	Thums	144	Rufname
71666	Vißer	33	Beruf
5568	Blaszik	9	Rufname
5057	Biernot	12	Rufname
37405	Kristeleit	13	Rufname
61376	Schubotz	82	Beruf
41318	Lippoldt	187	Rufname
42607	Löwenich	10	Herkunft
10362	Custer	5	Beruf
20082	Giraut	1	Rufname
25878	Heitepriem	19	Wohnstätte
70513	Uffrecht	39	Übername
53826	Quasdorf	152	Herkunft
34452	Kleedorfer	3	Herkunft
71526	Viechtel	1	Wohnstätte
73012	von der Brüggen	59	Wohnstätte
19860	Gfrereis	14	Übername
39270	Lafrenzen	2	Rufname
54806	Reichhold	213	Rufname
15219	Eppink	8	Rufname
72676	von Goetz	5	Rufname
77766	Zachäus	66	Rufname
3700	Bednarzyg	1	Beruf
12712	Domingo	12	Rufname
29815	Hülsbrink	16	Wohnstätte
38271	Kurpjuwait	3	Beruf
28673	Hotzfeld	8	Herkunft
76231	Wisnia	14	Wohnstätte
50126	Ollrog	16	Beruf
54858	Reiffenschneider	14	Beruf
15011	Endriss	111	Rufname
56311	Rohlf	352	Rufname
6080	Bogedein	15	Rufname
45628	Micksch	75	Rufname
49896	Offenburger	39	Herkunft
74738	Wengrzyk	7	Herkunft
5512	Blankennagel	26	Beruf
50015	Olbermann	67	Rufname
12647	Dolny	94	Wohnstätte
41899	Lotzges	2	Rufname
42687	Lücking	871	Rufname
42251	Luksemburg	1	Herkunft
28617	Horstkotte	198	Wohnstätte
39129	Küßwetter	6	Beruf
59982	Schlesack	5	Herkunft
75938	Willmsen	17	Rufname
14977	Enax	43	Übername
53313	Probsthayn	5	Herkunft
69662	Tomczik	18	Rufname
37495	Kromschröder	33	Beruf
48519	Nietschl	2	Rufname
3447	Bauernmeister	1	Beruf
77801	Zahradka	37	Beruf
44864	Meinicker	1	Rufname
34582	Kleine-Katthöfer	3	Wohnstätte
55510	Rezlaw	38	Rufname
58587	Schaeffling	1	Beruf
361	Adamsen	9	Rufname
69300	Tiggelers	2	Beruf
36154	Konnrad	3	Rufname
36443	Kortejohann	4	Rufname
11595	Dettleff	5	Rufname
67862	Tafelmair	9	Beruf
2191	Aufmhof	28	Wohnstätte
44155	Matthaei	247	Rufname
68533	Theinl	39	Rufname
55925	Rippin	93	Herkunft
1742	Arends	796	Rufname
65856	Stenczl	6	Rufname
21693	Grohskreutz	2	Wohnstätte
47773	Neißel	1	Rufname
78179	Zergiebel	161	Übername
41184	Lindlmair	2	Beruf
30459	Jaenen	4	Rufname
50373	Ortseifen	97	Herkunft
47415	Najak	6	Übername
462	Adlwarth	18	Rufname
56999	Rudschinski	5	Herkunft
